data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;;
2023-04-01 01:33:39.115;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;11/05/1979;AV IPIRANGA;341.0;361.0;NÃO;R MUCIO TEIXEIRA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;11/05/1979;AV GETULIO VARGAS;891.0;895.0;NÃO;R VISCONDE DO HERVAL;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PROIBIDO ESTACIONAR;INSTALADO;;15/05/1979;PCA DR JULIO DE ARAGAO BOZANO;25.0;51.0;NÃO;TRAV FERREIRA DE ABREU;IMPAR;CRESCENTE;CANTEIRO CENTRAL ;;
2023-04-01 01:33:39.116;PARADA OBRIGATÓRIA;INSTALADO;;16/05/1979;R CHILE;625.0;0.0;NÃO;R ITABORAI;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.117;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;17/05/1979;R BOTAFOGO;1455.0;1455.0;NÃO;AV AZENHA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.117;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;18/05/1979;TRAV VIAMAO;15.0;0.0;SIM;AV NITEROI;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.118;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;21/05/1979;AV DIVISA;2346.0;0.0;SIM;R CRUZEIRO DO SUL;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.118;PARADA OBRIGATÓRIA;INSTALADO;;23/05/1979;R GAURAMA;221.0;221.0;NÃO;R CANELA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.118;PARADA OBRIGATÓRIA;INSTALADO;;24/05/1979;R PEDRAS ALTAS;123.0;0.0;NÃO;R TOROQUA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.109;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - ;20/03/1979;AV ALBERTO BINS;581.0;581.0;NÃO;R CEL VICENTE;IMPAR;DECRESCENTE;CALCADA          ;;
